State Code,District Code,Sub District Code,Level,Area Name
00,000,00000,INDIA,भारत
01,000,00000,STATE,जम्मू और कश्मीर
01,001,00000,DISTRICT,कुपवाड़ा
01,001,00001,SUB-DISTRICT,कुपवाड़ा
01,001,00002,SUB-DISTRICT,हन्दवारा
01,001,00003,SUB-DISTRICT,करनाह
01,002,00000,DISTRICT,बडगाम
01,002,00004,SUB-DISTRICT,खाग
01,002,00005,SUB-DISTRICT,बीरवाह
01,002,00006,SUB-DISTRICT,खानसाहिब
01,002,00007,SUB-DISTRICT,बडगाम
01,002,00008,SUB-DISTRICT,चाडूरा
01,002,00009,SUB-DISTRICT,चरार-इ-शरीफ
01,003,00000,DISTRICT,लेह (लद्दाख)
01,003,00010,SUB-DISTRICT,लेह
01,003,00011,SUB-DISTRICT,नोबरा
01,003,00012,SUB-DISTRICT,खलसी
01,004,00000,DISTRICT,कारगिल
01,004,00013,SUB-DISTRICT,कारगिल
01,004,00014,SUB-DISTRICT,सांकू
01,004,00015,SUB-DISTRICT,जान्सकार
01,005,00000,DISTRICT,पुंछ
01,005,00016,SUB-DISTRICT,हवेली
01,005,00017,SUB-DISTRICT,मंडी
01,005,00018,SUB-DISTRICT,मेंढर
01,005,00019,SUB-DISTRICT,सुरनकोट
01,006,00000,DISTRICT,राजौरी
01,006,00020,SUB-DISTRICT,थानामंडी
01,006,00021,SUB-DISTRICT,दरहाल
01,006,00022,SUB-DISTRICT,राजौरी
01,006,00023,SUB-DISTRICT,बुदहल
01,006,00024,SUB-DISTRICT,कालाकोट
01,006,00025,SUB-DISTRICT,नौशेहरा
01,006,00026,SUB-DISTRICT,सुन्दरबनी
01,007,00000,DISTRICT,कठुआ
01,007,00027,SUB-DISTRICT,बिलावर
01,007,00028,SUB-DISTRICT,बसोली
01,007,00029,SUB-DISTRICT,बनी
01,007,00030,SUB-DISTRICT,कठुआ
01,007,00031,SUB-DISTRICT,हीरानगर
01,008,00000,DISTRICT,बारामूला
01,008,00032,SUB-DISTRICT,सोपोर
01,008,00033,SUB-DISTRICT,रफियाबाद
01,008,00034,SUB-DISTRICT,पट्टन
01,008,00035,SUB-DISTRICT,बारामूला
01,008,00036,SUB-DISTRICT,क्रीरी
01,008,00037,SUB-DISTRICT,ऊड़ी
01,008,00038,SUB-DISTRICT,बोनियार
01,008,00039,SUB-DISTRICT,टंगमार्ग
01,009,00000,DISTRICT,बान्डीपोर
01,009,00040,SUB-DISTRICT,गुरेज़
01,009,00041,SUB-DISTRICT,बान्डीपोर
01,009,00042,SUB-DISTRICT,सोनावारी
01,010,00000,DISTRICT,श्रीनगर
01,010,00043,SUB-DISTRICT,श्रीनगर (उत्तरी)
01,010,00044,SUB-DISTRICT,श्रीनगर (दक्षिणी)
01,011,00000,DISTRICT,गान्दरबल
01,011,00045,SUB-DISTRICT,लार
01,011,00046,SUB-DISTRICT,कंगन
01,011,00047,SUB-DISTRICT,गान्दरबल
01,012,00000,DISTRICT,पुलवामा(न.स.)
01,012,00048,SUB-DISTRICT,पाम्पोर
01,012,00049,SUB-DISTRICT,अवन्तीपुरा
01,012,00050,SUB-DISTRICT,तराल
01,012,00051,SUB-DISTRICT,पुलवामा 
01,013,00000,DISTRICT,शुपियन
01,013,00052,SUB-DISTRICT,शुपियन
01,014,00000,DISTRICT,अनन्तनाग
01,014,00053,SUB-DISTRICT,पहलगाम
01,014,00054,SUB-DISTRICT,बिजबिहारा
01,014,00055,SUB-DISTRICT,अनन्तनाग
01,014,00056,SUB-DISTRICT,शांगस
01,014,00057,SUB-DISTRICT,कोकरनाग
01,014,00058,SUB-DISTRICT,डूरु
01,015,00000,DISTRICT,कुलगाम
01,015,00059,SUB-DISTRICT,कुलगाम
01,015,00060,SUB-DISTRICT,देवसर
01,015,00061,SUB-DISTRICT,दमहाल हांजीपोरा
01,016,00000,DISTRICT,डोडा
01,016,00062,SUB-DISTRICT,डोडा
01,016,00063,SUB-DISTRICT,ठाठरी
01,016,00064,SUB-DISTRICT,गन्डोह
01,016,00065,SUB-DISTRICT,भदरवाह
01,017,00000,DISTRICT,रामबन
01,017,00066,SUB-DISTRICT,बनिहाल
01,017,00067,SUB-DISTRICT,रामबन
01,018,00000,DISTRICT,किश्तवाड़
01,018,00068,SUB-DISTRICT,किश्तवाड़
01,018,00069,SUB-DISTRICT,मड़वा
01,018,00070,SUB-DISTRICT,छातरू
01,018,00071,SUB-DISTRICT,अठोली (पाडर)
01,019,00000,DISTRICT,ऊधमपुर
01,019,00072,SUB-DISTRICT,ऊधमपुर
01,019,00073,SUB-DISTRICT,चेनैनी
01,019,00074,SUB-DISTRICT,रामनगर
01,019,00075,SUB-DISTRICT,मजाल्टा
01,020,00000,DISTRICT,रियासी
01,020,00076,SUB-DISTRICT,गुल-गुलाबगढ़
01,020,00077,SUB-DISTRICT,रियासी
01,021,00000,DISTRICT,जम्मू
01,021,00078,SUB-DISTRICT,अखनूर
01,021,00079,SUB-DISTRICT,जम्मू
01,021,00080,SUB-DISTRICT,रनबीरसिंहपूरा
01,021,00081,SUB-DISTRICT,बिशना
01,022,00000,DISTRICT,साम्बा
01,022,00082,SUB-DISTRICT,साम्बा
02,000,00000,STATE,हिमाचल प्रदेश
02,023,00000,DISTRICT,चम्बा
02,023,00083,SUB-DISTRICT,पांगी
02,023,00084,SUB-DISTRICT,चुराह
02,023,00085,SUB-DISTRICT,सलूनी
02,023,00086,SUB-DISTRICT,भलेई
02,023,00087,SUB-DISTRICT,डल्हौजी
02,023,00088,SUB-DISTRICT,भटियात
02,023,00089,SUB-DISTRICT,सिहुंता
02,023,00090,SUB-DISTRICT,चम्बा
02,023,00091,SUB-DISTRICT,होली
02,023,00092,SUB-DISTRICT,भरमौर
02,024,00000,DISTRICT,कांगड़ा
02,024,00093,SUB-DISTRICT,नूरपुर
02,024,00094,SUB-DISTRICT,इन्दौरा
02,024,00095,SUB-DISTRICT,फतेहपुर
02,024,00096,SUB-DISTRICT,ज्वाली
02,024,00097,SUB-DISTRICT,हरचकियां
02,024,00098,SUB-DISTRICT,शाहपुर
02,024,00099,SUB-DISTRICT,धर्मशाला
02,024,00100,SUB-DISTRICT,कांगड़ा
02,024,00101,SUB-DISTRICT,नगरोटा बगवां
02,024,00102,SUB-DISTRICT,बड़ोह
02,024,00103,SUB-DISTRICT,देरा गोपीपुर
02,024,00104,SUB-DISTRICT,ज्वालामुखी
