Transcript,locations,State,District,Subdistrict
बिलासपुर में रहता हूं मैं छत्तीसगढ़ में रहता हूं मैं काशीपुर काशीपुर जिला उधम सिंह नगर माय नेम इज आरती काशीपुर काशीपुर जिला मैं यूपी में रहता हूं जिला सोनभद्र में आशीष कुमार गुप्ता मेरा नाम है,बिलासपुर बिलासपुर छत्तीसगढ़ ,छत्तीसगढ़,बिलासपुर,
जिला बिजनौर उत्तर प्रदेश,"बिजनौर उत्तर प्रदेश ,",उत्तर प्रदेश,"बिजनौर,",
डिस्ट्रिक्ट कौशांबी उत्तर प्रदेश,"कौशांबी उत्तर प्रदेश ,","उत्तर प्रदेश,",कौशांबी,
मेरा नाम के दिन पड़ा ग्राम पोस्ट सिरौली थाना विजयपुर जिला समस्तीपुर शौचालय शौचालय प्रधानमंत्री शौचालय बनवाते हैं उनका मुख से मां का वीडियो लोग से करा लो लेकिन वह 3025 पर वोट मांगते हैं इस कारण,विजयपुर जिला समस्तीपुर,बिहार,समस्तीपुर,
बिहार जमुई जिला गिद्धौर प्रखंड का पंचायत का चुनाव,"बिहार जमुई जिला गिद्धौर प्रखंड ,",बिहार,जमुई,गिद्धौर
लाइव उत्तर प्रदेश जिला बांदा का लिखवा चमेली चौराहा में रहता हूं शनिवार को एकदम,"लाइव उत्तर प्रदेश ,बांदा ,",उत्तर प्रदेश,बांदा,
उधम सिंह नगर उत्तराखंड नमस्कार मैं सत्यम सिंह  जिला उधम उधम सिंह नगर उत्तराखंड के रहने वाला हूं मैं यह कार्यक्रम की चर्चा मंच पर,"नगर उत्तराखंड ,जिला ,नगर उत्तराखंड",उत्तराखंड,उधम सिंह नगर ,
मैं अजमेर जिले में रहता हूं मेरा नाम बिना है,"अजमेर ,",राजस्थान,अजमेर,
वेस्ट बेंगल अटेंशन पार्ट वन,वेस्ट बेंगल ,वेस्ट बेंगल ,,
मैं बहुत दूर हूं मैं घुमिया सॉन्ग  हेलो हेलो हेलो हेलो  नागपुर में रहता हूं पढ़ने जाता हूं,"नागपुर ,",महाराष्ट्र ,नागपुर,
जिला प्रतापगढ़ यूपी,"जिला प्रतापगढ़ यूपी ,",उत्तर प्रदेश,प्रतापगढ़,
उत्तर प्रदेश बी एच यू वाराणसी,"उत्तर प्रदेश ,एच ,वाराणसी ,",उत्तर प्रदेश,वाराणसी,
उना हिमाचल प्रदेश,"उना हिमाचल प्रदेश ,",हिमाचल प्रदेश,उना,
नाम पंकज कुमार जिला मुजफ्फरपुर प्रशासन द्वारा टेस्ट,,बिहार,मुजफ्फरपुर,
मेरा नाम का जनरेटर में उत्तराखंड के जिला अल्मोड़ा,"उत्तराखंड ,अल्मोड़ा ,",उत्तराखंड,अल्मोड़ा,
मैं भागलपुर जिले के अकबरनगर लकवा में रहता हूं जो बिहार में पड़ता है,"भागलपुर जिले , बिहार ,",बिहार,भागलपुर,
काशीपुर काशीपुर जिला उधम सिंह नगर माय नेम इज आरती,"काशीपुर काशीपुर जिला ,",उत्तराखंड,उधम सिंह नगर,काशीपुर
मध्य प्रदेश,"मध्य प्रदेश ,",मध्य प्रदेश,,
एमआई जिले का नाथू सिंह वाले राज्य का नाम में मध्य प्रदेश,"मध्य प्रदेश ,",मध्य प्रदेश,,
राजस्थान,राजस्थान,राजस्थान,,
मास्टर कांगड़ा,"कांगड़ा ,",हिमाचल प्रदेश,कांगड़ा,
इलाहाबाद इलाहाबाद में रहती हूं मकान में 14 साल में काली गुलामी,"इलाहाबाद इलाहाबाद ,",इलाहाबाद,इलाहाबाद,
स्पेशल यूपी मध्य प्रदेश  जबलपुर मध्य प्रदेश,"स्पेशल यूपी मध्य प्रदेश , जबलपुर मध्य प्रदेश ,",मध्य प्रदेश,जबलपुर,
जिला लखीसराय बिहार,"लखीसराय बिहार ,",बिहार,"लखीसराय,",
सीमलवाडा तहसील राजस्थान,"राजस्थान ,","राजस्थान,",,
झारखंड दीवान डी में  झारखंड दिवाली में,"झारखंड ,झारखंड ,",झारखंड,,
जिला उधम सिंह नगर उत्तराखंड राज्य,"उधम सिंह ,उत्तराखंड ,","उत्तराखंड,",उधम सिंह नगर ,
मैं जिला बस्तर छत्तीसगढ़ में रहता हूं और मैं पढ़ाई करता हूं मैं अग्रवाल में ब्लाइंड स्कूल में पढ़ाई करता हूं मेरा नाम सुखदेव जैसे,"बस्तर छत्तीसगढ़ ,",छत्तीसगढ़,बस्तर,
हमारा नाम नानू लाल रंगीला राम मोदी समाज जिला सोनभद्र उत्तर प्रदेश में हम रहते हैं  और शौचालय के बारे में बिल्कुल हम तर्क सही से इस्तेमाल करते भी हैं सब,"सोनभद्र उत्तर प्रदेश ,",उत्तर प्रदेश,सोनभद्र,
उना हिमाचल प्रदेश,"उना हिमाचल प्रदेश ,",हिमाचल प्रदेश,उना,
